,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period,0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Kevon Looney vs. Jaylin Williams: Tip to Stephen Curry,0,0,Kevon Looney,GSW,Jaylin Williams,OKC,Stephen Curry,GSW
2,2POINT,1,11:41,Klay Thompson 18' Jump Shot (2 PTS),0 - 2,2,Klay Thompson,GSW,,,,
3,3POINT,1,11:22,Shai Gilgeous-Alexander 25' 3PT Jump Shot (3 PTS),3 - 2,-1,Shai Gilgeous-Alexander,OKC,,,,
4,TURNOVER,1,11:05,Stephen Curry Bad Pass Turnover (P1.T1),3 - 2,-1,Stephen Curry,GSW,,,,
5,3POINT.ASSIST,1,10:50,Luguentz Dort 3PT Jump Shot (3 PTS) (Josh Giddey 1 AST),6 - 2,-4,Luguentz Dort,OKC,Josh Giddey,OKC,,
6,2POINT.ASSIST,1,10:35,Andrew Wiggins 2' Cutting Layup Shot (2 PTS) (Draymond Green 1 AST),6 - 4,-2,Andrew Wiggins,GSW,Draymond Green,GSW,,
7,TURNOVER,1,10:22,Shai Gilgeous-Alexander Out of Bounds Lost Ball Turnover (P1.T2),6 - 4,-2,Shai Gilgeous-Alexander,OKC,,,,
8,2POINT.ASSIST,1,10:10,Kevon Looney 2' Layup (2 PTS) (Stephen Curry 1 AST),6 - 6,TIE,Kevon Looney,GSW,Stephen Curry,GSW,,
9,2POINTMISS,1,9:54,MISS Josh Giddey 12' Pullup Jump Shot,6 - 6,TIE,Josh Giddey,OKC,,,,
10,REBOUND,1,9:51,Kevon Looney REBOUND (Off:0 Def:1),6 - 6,TIE,Kevon Looney,GSW,,,,
11,3POINT,1,9:40,Stephen Curry 26' 3PT Jump Shot (3 PTS),6 - 9,3,Stephen Curry,GSW,,,,
12,2POINT,1,9:22,Jalen Williams 1' Layup (2 PTS),8 - 9,1,Jalen Williams,OKC,,,,
13,FOUL,1,9:08,Jaylin Williams S.FOUL (P1.T1),8 - 9,1,Jaylin Williams,OKC,Kevon Looney,GSW,,
14,SUB,1,9:08,SUB: Jordan Poole FOR Klay Thompson,8 - 9,1,Klay Thompson,GSW,Jordan Poole,GSW,,
15,FTMAKE,1,9:08,Kevon Looney Free Throw 1 of 2 (3 PTS),8 - 10,2,Kevon Looney,GSW,,,,
16,FTMISS,1,9:08,MISS Kevon Looney Free Throw 2 of 2,8 - 10,2,Kevon Looney,GSW,,,,
17,REBOUND,1,9:06,Josh Giddey REBOUND (Off:0 Def:1),8 - 10,2,Josh Giddey,OKC,,,,
18,2POINT.ASSIST,1,8:58,Jalen Williams 1' Dunk (4 PTS) (Shai Gilgeous-Alexander 1 AST),10 - 10,TIE,Jalen Williams,OKC,Shai Gilgeous-Alexander,OKC,,
19,3POINT,1,8:35,Jordan Poole 26' 3PT Step Back Jump Shot (3 PTS),10 - 13,3,Jordan Poole,GSW,,,,
20,FOUL,1,8:18,Andrew Wiggins P.FOUL (P1.T1),10 - 13,3,Andrew Wiggins,GSW,Josh Giddey,OKC,,
21,2POINT,1,8:12,Shai Gilgeous-Alexander 1' Driving Layup (5 PTS),12 - 13,1,Shai Gilgeous-Alexander,OKC,,,,
22,3POINT.ASSIST,1,8:01,Jordan Poole 3PT Jump Shot (6 PTS) (Draymond Green 2 AST),12 - 16,4,Jordan Poole,GSW,Draymond Green,GSW,,
23,TIMEOUT,1,8:00,Thunder Timeout: Regular (Reg.1 Short 0),12 - 16,4,,,,,,
24,SUB,1,8:00,SUB: Isaiah Joe FOR Luguentz Dort,12 - 16,4,Luguentz Dort,OKC,Isaiah Joe,OKC,,
25,3POINTMISS,1,7:48,MISS Shai Gilgeous-Alexander 3PT Jump Shot,12 - 16,4,Shai Gilgeous-Alexander,OKC,,,,
26,REBOUND,1,7:45,Kevon Looney REBOUND (Off:0 Def:2),12 - 16,4,Kevon Looney,GSW,,,,
27,2POINTMISS,1,7:35,MISS Jordan Poole 8' Driving Floating Jump Shot,12 - 16,4,Jordan Poole,GSW,,,,
28,REBOUND,1,7:32,Isaiah Joe REBOUND (Off:0 Def:1),12 - 16,4,Isaiah Joe,OKC,,,,
29,3POINT.ASSIST,1,7:28,Jalen Williams 3PT Jump Shot (7 PTS) (Josh Giddey 2 AST),15 - 16,1,Jalen Williams,OKC,Josh Giddey,OKC,,
30,2POINT.ASSIST,1,7:14,Kevon Looney 2' Layup (5 PTS) (Draymond Green 3 AST),15 - 18,3,Kevon Looney,GSW,Draymond Green,GSW,,
31,FOUL,1,7:00,Draymond Green S.FOUL (P1.T2),15 - 18,3,Draymond Green,GSW,Shai Gilgeous-Alexander,OKC,,
32,FTMAKE,1,7:00,Shai Gilgeous-Alexander Free Throw 1 of 2 (6 PTS),16 - 18,2,Shai Gilgeous-Alexander,OKC,,,,
33,SUB,1,7:00,SUB: Aaron Wiggins FOR Jaylin Williams,16 - 18,2,Jaylin Williams,OKC,Aaron Wiggins,OKC,,
34,SUB,1,7:00,SUB: JaMychal Green FOR Kevon Looney,16 - 18,2,Kevon Looney,GSW,JaMychal Green,GSW,,
35,FTMISS,1,7:00,MISS Shai Gilgeous-Alexander Free Throw 2 of 2,16 - 18,2,Shai Gilgeous-Alexander,OKC,,,,
36,REBOUND,1,6:58,Stephen Curry REBOUND (Off:0 Def:1),16 - 18,2,Stephen Curry,GSW,,,,
37,3POINT,1,6:50,Stephen Curry 27' 3PT Jump Shot (6 PTS),16 - 21,5,Stephen Curry,GSW,,,,
38,TURNOVER,1,6:36,Shai Gilgeous-Alexander Bad Pass Turnover (P2.T3),16 - 21,5,Shai Gilgeous-Alexander,OKC,,,,
39,2POINT.ASSIST,1,6:27,Jordan Poole 3' Driving Layup (8 PTS) (Draymond Green 4 AST),16 - 23,7,Jordan Poole,GSW,Draymond Green,GSW,,
40,TIMEOUT,1,6:27,Thunder Timeout: Regular (Reg.2 Short 0),16 - 23,7,,,,,,
41,SUB,1,6:27,SUB: Luguentz Dort FOR Jalen Williams,16 - 23,7,Jalen Williams,OKC,Luguentz Dort,OKC,,
42,SUB,1,6:27,SUB: Donte DiVincenzo FOR Stephen Curry,16 - 23,7,Stephen Curry,GSW,Donte DiVincenzo,GSW,,
