,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:11 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Adams vs. Wiseman: Tip to Curry,0,0,Steven Adams,OKC,James Wiseman,GSW,Stephen Curry,GSW
2,3POINT.ASSIST,1,11:45,Curry 24' 3PT Jump Shot (3 PTS) (Green 1 AST),0 - 3,-3,Stephen Curry,GSW,Draymond Green,GSW,,
3,2POINT.ASSIST,1,11:23,Gilgeous-Alexander 12' Layup (2 PTS) (Giddey 1 AST),2 - 3,-1,Shai Gilgeous-Alexander,OKC,Josh Giddey,OKC,,
4,3POINT,1,11:00,Thompson 22' 3PT Jump Shot (3 PTS),2 - 6,-4,Klay Thompson,GSW,,,,
5,TURNOVER,1,10:44,Gilgeous-Alexander Lost Ball Turnover (P1.T1),2 - 6,-4,Shai Gilgeous-Alexander,OKC,,,,
6,STEAL,1,10:44,Green STEAL,2 - 6,-4,Draymond Green,GSW,,,,
7,2POINT.ASSIST,1,10:30,Wiggins 8' Dunk (2 PTS) (Curry 1 AST),2 - 8,-6,Andrew Wiggins,GSW,Stephen Curry,GSW,,
8,FOUL,1,10:10,Green Shooting Foul (P1),2 - 8,-6,Draymond Green,GSW,Darius Bazley,OKC,,
9,FTMAKE,1,10:10,Bazley Free Throw 1 of 2 (1 PTS),3 - 8,-5,Darius Bazley,OKC,,,,
10,FTMAKE,1,10:10,Bazley Free Throw 2 of 2 (2 PTS),4 - 8,-4,Darius Bazley,OKC,,,,
11,3POINTMISS,1,9:55,MISS Thompson 25' 3PT Pullup Jump Shot,4 - 8,-4,Klay Thompson,GSW,,,,
12,REBOUND,1,9:52,Adams REBOUND (Off:0 Def:1),4 - 8,-4,Steven Adams,OKC,,,,
13,2POINT,1,9:37,Giddey 5' Driving Layup (2 PTS),6 - 8,-2,Josh Giddey,OKC,,,,
14,3POINT,1,9:20,Curry 28' 3PT Step Back Jump Shot (6 PTS),6 - 11,-5,Stephen Curry,GSW,,,,
15,TIMEOUT,1,9:10,THUNDER Timeout: Regular (Full 1 Short 0),6 - 11,-5,,,,,,
16,SUB,1,9:10,SUB: Dort FOR Bazley,6 - 11,-5,Darius Bazley,OKC,Luguentz Dort,OKC,,
17,2POINTMISS.BLOCK,1,8:50,MISS Gilgeous-Alexander 14' Fadeaway JumperWiseman BLOCK (1 BLK),6 - 11,-5,Shai Gilgeous-Alexander,OKC,,,James Wiseman,GSW
18,REBOUND,1,8:47,Wiseman REBOUND (Off:0 Def:2),6 - 11,-5,James Wiseman,GSW,,,,
19,2POINT.ASSIST,1,8:33,Green 16' Jump Shot (2 PTS) (Curry 2 AST),6 - 13,-7,Draymond Green,GSW,Stephen Curry,GSW,,
20,3POINTMISS,1,8:10,MISS Dort 23' 3PT Catch and Shoot,6 - 13,-7,Luguentz Dort,OKC,,,,
21,REBOUND,1,8:07,Thompson REBOUND (Off:0 Def:1),6 - 13,-7,Klay Thompson,GSW,,,,
22,2POINT,1,7:55,Thompson 18' Pullup Jump Shot (5 PTS),6 - 15,-9,Klay Thompson,GSW,,,,
23,TURNOVER,1,7:39,Giddey Bad Pass Turnover (P1.T2),6 - 15,-9,Josh Giddey,OKC,,,,
24,STEAL,1,7:39,Curry STEAL,6 - 15,-9,Stephen Curry,GSW,,,,
25,3POINT,1,7:22,Wiggins 3PT Jump Shot (5 PTS) (Thompson 1 AST),6 - 18,-12,Andrew Wiggins,GSW,Klay Thompson,GSW,,
26,TIMEOUT,1,7:15,THUNDER Timeout: Short,6 - 18,-12,,,,,,
27,SUB,1,7:15,SUB: Williams FOR Giddey,6 - 18,-12,Josh Giddey,OKC,Kenrich Williams,OKC,,
28,2POINTMISS,1,6:58,MISS Gilgeous-Alexander 15' Jump Shot,6 - 18,-12,Shai Gilgeous-Alexander,OKC,,,,
29,REBOUND,1,6:55,Wiseman REBOUND (Off:0 Def:3),6 - 18,-12,James Wiseman,GSW,,,,
30,2POINT,1,6:40,Curry 16' Step Back Jump Shot (8 PTS),6 - 20,-14,Stephen Curry,GSW,,,,
31,2POINT.ASSIST,1,6:18,Williams 10' Layup (2 PTS) (Adams 1 AST),8 - 20,-12,Kenrich Williams,OKC,Steven Adams,OKC,,
32,3POINTMISS,1,6:00,MISS Green 26' 3PT Pullup Jump Shot,8 - 20,-12,Draymond Green,GSW,,,,
33,REBOUND,1,5:57,Dort REBOUND (Off:0 Def:1),8 - 20,-12,Luguentz Dort,OKC,,,,
34,2POINT,1,5:44,Dort 15' Pullup Jump Shot (2 PTS),10 - 20,-10,Luguentz Dort,OKC,,,,
35,FOUL,1,5:30,Thompson Shooting Foul (P1),10 - 20,-10,Klay Thompson,GSW,Shai Gilgeous-Alexander,OKC,,
36,FTMAKE,1,5:30,Gilgeous-Alexander Free Throw 1 of 2 (3 PTS),11 - 20,-9,Shai Gilgeous-Alexander,OKC,,,,
37,FTMAKE,1,5:30,Gilgeous-Alexander Free Throw 2 of 2 (4 PTS),12 - 20,-8,Shai Gilgeous-Alexander,OKC,,,,
38,2POINT.ASSIST,1,5:14,Green 12' Hook Shot (4 PTS) (Curry 3 AST),12 - 22,-10,Draymond Green,GSW,Stephen Curry,GSW,,
39,3POINT,1,4:57,Young 25' 3PT Jump Shot (3 PTS),15 - 22,-7,Joe Young,OKC,,,,
40,2POINTMISS.BLOCK,1,4:39,MISS Wiseman 5' LayupAdams BLOCK (1 BLK),15 - 22,-7,James Wiseman,GSW,,,Steven Adams,OKC
41,REBOUND,1,4:36,Adams REBOUND (Off:0 Def:2),15 - 22,-7,Steven Adams,OKC,,,,
42,2POINT,1,4:20,Adams 6' Putback Layup (2 PTS),17 - 22,-5,Steven Adams,OKC,,,,
43,3POINTMISS,1,4:03,MISS Curry 27' 3PT Pullup Jump Shot,17 - 22,-5,Stephen Curry,GSW,,,,
44,REBOUND,1,4:00,Dort REBOUND (Off:0 Def:2),17 - 22,-5,Luguentz Dort,OKC,,,,
