,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:10 PM PST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Looney vs. Muscala: Tip to Dort,0,0,Kevon Looney,GSW,Mike Muscala,OKC,Luguentz Dort,OKC
2,TURNOVER,1,11:45,WARRIORS Turnover: Shot Clock (T#1),0,0,,,,,,
3,2POINTMISS,1,11:29,MISS Gilgeous-Alexander 3' Driving Layup,0,0,Shai Gilgeous-Alexander,OKC,,,,
4,REBOUND,1,11:26,Green REBOUND (Off:0 Def:1),0,0,Draymond Green,GSW,,,,
5,3POINT.ASSIST,1,11:21,Thompson 25' 3PT Jump Shot (3 PTS) (Curry 1 AST),0 - 3,3,Klay Thompson,GSW,Stephen Curry,GSW,,
6,2POINT.ASSIST,1,11:00,Dort 6' Driving Floating Jump Shot (2 PTS) (Giddey 1 AST),2 - 3,1,Luguentz Dort,OKC,Josh Giddey,OKC,,
7,2POINT,1,10:40,Curry 16' Pullup Jump Shot (2 PTS),2 - 5,3,Stephen Curry,GSW,,,,
8,2POINT.ASSIST,1,10:28,Gilgeous-Alexander 2' Driving Layup (2 PTS) (Giddey 2 AST),4 - 5,1,Shai Gilgeous-Alexander,OKC,Josh Giddey,OKC,,
9,FOUL,1,10:17,Dort P.FOUL (P1.T1) (R.Mott),4 - 5,1,Luguentz Dort,OKC,Andrew Wiggins,GSW,,
10,FTMAKE,1,10:17,Wiggins Free Throw 1 of 2 (1 PTS),4 - 6,2,Andrew Wiggins,GSW,,,,
11,FTMAKE,1,10:17,Wiggins Free Throw 2 of 2 (2 PTS),4 - 7,3,Andrew Wiggins,GSW,,,,
12,2POINT,1,10:04,Muscala 11' Turnaround Jump Shot (2 PTS),6 - 7,1,Mike Muscala,OKC,,,,
13,3POINT,1,9:47,Thompson 28' 3PT Jump Shot (6 PTS),6 - 10,4,Klay Thompson,GSW,,,,
14,TURNOVER,1,9:28,Gilgeous-Alexander Bad Pass Turnover (P1.T1),6 - 10,4,Shai Gilgeous-Alexander,OKC,,,,
15,2POINT.ASSIST,1,9:17,Looney 2' Cutting Layup Shot (2 PTS) (Green 1 AST),6 - 12,6,Kevon Looney,GSW,Draymond Green,GSW,,
16,TIMEOUT,1,9:16,Thunder Timeout: Regular (Reg.1 Short 0),6 - 12,6,,,,,,
