6,REBOUND,1,11:06,K. Williams REBOUND (Off:0 Def:1),3 - 0,-3,Kenrich Williams,OKC,,,,
12,REBOUND,1,10:24,Gilgeous-Alexander REBOUND (Off:0 Def:1),5 - 2,-3,Shai Gilgeous-Alexander,OKC,,,,
20,REBOUND,1,9:16,Gilgeous-Alexander REBOUND (Off:0 Def:2),7 - 6,-1,Shai Gilgeous-Alexander,OKC,,,,
41,REBOUND,1,6:51,Giddey REBOUND (Off:0 Def:1),17 - 10,-7,Josh Giddey,OKC,,,,
46,REBOUND,1,6:20,K. Williams REBOUND (Off:1 Def:1),17 - 10,-7,Kenrich Williams,OKC,,,,
72,REBOUND,1,3:12,Wiggins REBOUND (Off:0 Def:1),24 - 15,-9,Aaron Wiggins,OKC,,,,
84,REBOUND,1,2:02,Joe REBOUND (Off:0 Def:1),29 - 15,-14,Isaiah Joe,OKC,,,,
113,REBOUND,2,10:40,Giddey REBOUND (Off:0 Def:2),38 - 21,-17,Josh Giddey,OKC,,,,
115,REBOUND,2,10:36,Giddey REBOUND (Off:1 Def:2),38 - 21,-17,Josh Giddey,OKC,,,,
127,REBOUND,2,9:35,K. Williams REBOUND (Off:1 Def:2),38 - 22,-16,Kenrich Williams,OKC,,,,
131,REBOUND,2,9:11,K. Williams REBOUND (Off:1 Def:3),38 - 22,-16,Kenrich Williams,OKC,,,,
143,REBOUND,2,8:16,Dieng REBOUND (Off:0 Def:1),42 - 24,-18,Ousmane Dieng,OKC,,,,
152,REBOUND,2,7:32,Jay. Williams REBOUND (Off:0 Def:1),42 - 26,-16,Jaylin Williams,OKC,,,,
162,REBOUND,2,6:47,Joe REBOUND (Off:0 Def:2),45 - 26,-19,Isaiah Joe,OKC,,,,
167,REBOUND,2,5:52,Jal. Williams REBOUND (Off:0 Def:1),48 - 30,-18,Jalen Williams,OKC,,,,
170,REBOUND,2,5:26,Bazley REBOUND (Off:0 Def:1),48 - 32,-16,Darius Bazley,OKC,,,,
180,REBOUND,2,4:39,Bazley REBOUND (Off:0 Def:2),50 - 34,-16,Darius Bazley,OKC,,,,
189,REBOUND,2,3:27,Jay. Williams REBOUND (Off:0 Def:2),53 - 34,-19,Jaylin Williams,OKC,,,,
200,REBOUND,2,2:36,Jay. Williams REBOUND (Off:0 Def:3),55 - 38,-17,Jaylin Williams,OKC,,,,
207,REBOUND,2,1:08,K. Williams REBOUND (Off:1 Def:4),60 - 45,-15,Kenrich Williams,OKC,,,,
233,REBOUND,3,10:56,Giddey REBOUND (Off:2 Def:2),67 - 48,-19,Josh Giddey,OKC,,,,
239,REBOUND,3,10:00,Giddey REBOUND (Off:2 Def:3),69 - 48,-21,Josh Giddey,OKC,,,,
242,REBOUND,3,9:45,Jay. Williams REBOUND (Off:0 Def:4),69 - 48,-21,Jaylin Williams,OKC,,,,
250,REBOUND,3,8:27,Jal. Williams REBOUND (Off:0 Def:2),71 - 54,-17,Jalen Williams,OKC,,,,
267,REBOUND,3,6:41,Jay. Williams REBOUND (Off:1 Def:4),76 - 59,-17,Jaylin Williams,OKC,,,,
269,REBOUND,3,6:37,Jal. Williams REBOUND (Off:1 Def:2),76 - 59,-17,Jalen Williams,OKC,,,,
275,REBOUND,3,6:01,Gilgeous-Alexander REBOUND (Off:0 Def:3),79 - 61,-18,Shai Gilgeous-Alexander,OKC,,,,
279,REBOUND,3,5:41,Giddey REBOUND (Off:2 Def:4),79 - 61,-18,Josh Giddey,OKC,,,,
290,REBOUND,3,5:02,Joe REBOUND (Off:0 Def:3),79 - 63,-16,Isaiah Joe,OKC,,,,
296,REBOUND,3,4:30,Gilgeous-Alexander REBOUND (Off:0 Def:4),79 - 65,-14,Shai Gilgeous-Alexander,OKC,,,,
305,REBOUND,3,3:45,Muscala REBOUND (Off:0 Def:1),81 - 68,-13,Mike Muscala,OKC,,,,
322,REBOUND,3,1:47,Muscala REBOUND (Off:0 Def:2),86 - 74,-12,Mike Muscala,OKC,,,,
328,REBOUND,3,1:16,Wiggins REBOUND (Off:1 Def:1),88 - 77,-11,Aaron Wiggins,OKC,,,,
352,REBOUND,4,10:54,Mann REBOUND (Off:0 Def:1),96 - 88,-8,Tre Mann,OKC,,,,
364,REBOUND,4,9:31,Jay. Williams REBOUND (Off:1 Def:5),100 - 93,-7,Jaylin Williams,OKC,,,,
367,REBOUND,4,8:53,Jay. Williams REBOUND (Off:1 Def:6),100 - 95,-5,Jaylin Williams,OKC,,,,
370,REBOUND,4,8:26,K. Williams REBOUND (Off:2 Def:4),100 - 95,-5,Kenrich Williams,OKC,,,,
383,REBOUND,4,7:19,Jay. Williams REBOUND (Off:2 Def:6),104 - 98,-6,Jaylin Williams,OKC,,,,
391,REBOUND,4,6:20,K. Williams REBOUND (Off:2 Def:5),107 - 101,-6,Kenrich Williams,OKC,,,,
394,REBOUND,4,5:58,Jal. Williams REBOUND (Off:1 Def:3),107 - 101,-6,Jalen Williams,OKC,,,,
402,REBOUND,4,5:22,K. Williams REBOUND (Off:2 Def:6),107 - 103,-4,Kenrich Williams,OKC,,,,
407,REBOUND,4,4:27,Giddey REBOUND (Off:2 Def:5),109 - 105,-4,Josh Giddey,OKC,,,,
410,REBOUND,4,3:51,Giddey REBOUND (Off:2 Def:6),109 - 107,-2,Josh Giddey,OKC,,,,
