,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (10:11 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Looney vs. Barnes: Tip to Curry,0,0,Kevon Looney,GSW,Scottie Barnes,TOR,Stephen Curry,GSW
2,STEAL.TURNOVER,1,11:48,Poole Bad Pass Turnover (P1.T1)Anunoby STEAL (1 STL),0,0,Jordan Poole,GSW,OG Anunoby,TOR,,
3,2POINT,1,11:44,Barnes 3' Running Dunk (2 PTS),2 - 0,-2,Scottie Barnes,TOR,,,,
4,TURNOVER,1,11:28,D. Green Out of Bounds Lost Ball Turnover (P1.T2),2 - 0,-2,Draymond Green,GSW,,,,
5,2POINTMISS,1,11:14,MISS Barnes 12' Jump Bank Shot,2 - 0,-2,Scottie Barnes,TOR,,,,
6,REBOUND,1,11:11,Poole REBOUND (Off:0 Def:1),2 - 0,-2,Jordan Poole,GSW,,,,
7,2POINTMISS,1,10:59,MISS Poole 14' Pullup Jump Shot,2 - 0,-2,Jordan Poole,GSW,,,,
8,REBOUND,1,10:56,Barnes REBOUND (Off:0 Def:1),2 - 0,-2,Scottie Barnes,TOR,,,,
9,2POINTMISS,1,10:52,MISS Siakam 3' Running Layup,2 - 0,-2,Pascal Siakam,TOR,,,,
10,REBOUND,1,10:50,Curry REBOUND (Off:0 Def:1),2 - 0,-2,Stephen Curry,GSW,,,,
11,2POINTMISS,1,10:45,MISS Thompson 4' Running Reverse Layup,2 - 0,-2,Klay Thompson,GSW,,,,
12,REBOUND,1,10:43,VanVleet REBOUND (Off:0 Def:1),2 - 0,-2,Fred VanVleet,TOR,,,,
13,2POINT,1,10:39,Trent Jr. 9' Driving Floating Jump Shot (2 PTS),4 - 0,-4,Gary Trent Jr.,TOR,,,,
14,2POINT,1,10:24,Thompson 13' Step Back Jump Shot (2 PTS),4 - 2,-2,Klay Thompson,GSW,,,,
15,2POINTMISS,1,10:09,MISS Siakam 12' Driving Floating Bank Jump Shot,4 - 2,-2,Pascal Siakam,TOR,,,,
16,REBOUND,1,10:07,Looney REBOUND (Off:0 Def:1),4 - 2,-2,Kevon Looney,GSW,,,,
17,2POINT.ASSIST,1,9:58,Curry 5' Cutting Layup Shot (2 PTS) (D. Green 1 AST),4 - 4,TIE,Stephen Curry,GSW,Draymond Green,GSW,,
18,3POINT.ASSIST,1,9:41,VanVleet 26' 3PT Jump Shot (3 PTS) (Barnes 1 AST),7 - 4,-3,Fred VanVleet,TOR,Scottie Barnes,TOR,,
19,2POINT.ASSIST,1,9:22,Thompson 3' Cutting Dunk Shot (4 PTS) (Looney 1 AST),7 - 6,-1,Klay Thompson,GSW,Kevon Looney,GSW,,
20,3POINT.ASSIST,1,9:14,Siakam 28' 3PT Pullup Jump Shot (3 PTS) (Barnes 2 AST),10 - 6,-4,Pascal Siakam,TOR,Scottie Barnes,TOR,,
21,2POINT.ASSIST,1,8:53,Curry 5' Cutting Layup Shot (4 PTS) (D. Green 2 AST),10 - 8,-2,Stephen Curry,GSW,Draymond Green,GSW,,
22,FOUL,1,8:45,Poole P.FOUL (P1.T1) (K.Scott),10 - 8,-2,Jordan Poole,GSW,OG Anunoby,TOR,,
23,3POINT,1,8:39,VanVleet 26' 3PT Pullup Jump Shot (6 PTS),13 - 8,-5,Fred VanVleet,TOR,,,,
